page,2013-04-01 pi,2013-05-01 pi,2013-06-01 pi,2013-07-01 pi,2013-08-01 pi,2013-09-01 pi,2013-10-01 pi,2013-11-01 pi,2013-12-01 pi,2014-01-01 pi,2014-02-01 pi,2014-03-01 pi,2014-04-01 pi,2014-05-01 pi,2014-06-01 pi,2014-07-01 pi,2014-08-01 pi,2014-09-01 pi,2014-10-01 pi,2014-11-01 pi,2014-12-01 pi,2015-01-01 pi,2015-02-01 pi,2015-03-01 pi,2015-04-01 pi,2015-05-01 pi,2015-06-01 pi,2015-07-01 pi,2015-08-01 pi,2015-09-01 pi,2015-10-01 pi,2015-11-01 pi,2015-12-01 pi,2016-01-01 pi,2016-02-01 pi,2016-03-01 pi,2016-04-01 pi,2016-05-01 pi,2016-06-01 pi,2016-07-01 pi,2016-08-01 pi,2016-09-01 pi,2016-10-01 pi,2016-11-01 pi,2016-12-01 pi,2017-01-01 pi,2017-02-01 pi,2017-03-01 pi,2017-04-01 pi,2017-05-01 pi,2017-06-01 pi,2017-07-01 pi,2017-08-01 pi,2017-09-01 pi,2017-10-01 pi,2017-11-01 pi,2017-12-01 pi,2018-01-01 pi,2018-02-01 pi,2018-03-01 pi,2018-04-01 pi,2018-05-01 pi,sum
aktenplan-der-senatsverwaltung-für-finanzen-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,2,10,28
grünanlagenbestand-berlin-einschließlich-der-öffentlichen-spielplätze-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,22,13,11,14,13,20,11,7,7,15,10,18,5,15,39,18,18,42,8,19,4,19,2,1,,10,373
brandenburger-weihnachtsmärkte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,9,2,4,2,,1,5,1,2,,6,8,5,7,1,16,30,24,13,15,10,15,20,22,21,30,8,13,11,10,337
standorte-geförderter-kultureinrichtungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,21,10,27,15,19,20,12,12,12,18,29,10,13,5,5,7,15,12,10,312
senatsdokumente-bildung-jugend-familie-und-wissenschaft,,,,,,,,,30,67,29,9,11,5,8,3,13,7,3,9,2,7,6,13,6,12,9,10,1,4,3,6,2,1,9,4,4,9,4,6,5,5,4,1,4,5,9,11,14,8,4,5,6,6,8,9,4,7,8,5,13,10,463
alkis-berlin-tatsächliche-nutzung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,12,16,10,48
verdiensterhebung-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,4,15,10,44
besuchszahlen-öffentlich-geförderten-berliner-kultureinrichtungen-2011-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,36,14,11,6,3,10,9,7,5,3,5,8,6,16,6,6,8,12,14,10,223
gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-beschäftigte-im,,,,,,,,,,,2,,,,,,,,,,2,,3,,,,,,,,,,1,2,1,,,,,,1,5,,1,3,4,1,,,,,,,,,,,5,1,,,10,42
grundschuleinzugsbereiche-geometrien-berlin-2012-mit-demographischen-merkmalen,,,,68,56,62,72,46,16,46,56,26,43,63,72,45,60,81,46,22,17,41,45,31,19,27,30,28,25,38,28,15,33,21,35,23,14,36,46,57,30,30,11,14,11,24,12,8,25,33,15,4,9,17,13,11,10,35,14,17,9,10,1851
erhaltungsverordnungsgebiete-%C2%A7-172-baugb-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,3,8,5,13,16,13,11,12,8,8,8,14,4,13,6,2,8,10,174
baugewerbe-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,7,10,46
de-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
hauskoordinaten-als-teildatenbestand-adressen-berlin-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,2,10,23
angebote-für-jedes-alter-kinder-jugend-und-familie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,1,4,5,2,2,1,2,4,2,,,,10,17,18,23,6,8,8,3,2,23,2,9,21,10,28,7,6,10,253
sportangebote-marzahn-hellersdorf,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,4,2,1,6,1,4,,,,1,2,3,,,,2,19,28,8,3,3,2,8,3,2,11,4,3,4,10,144
www.statistik-berlin-brandenburg.de,,,18,46,30,393,86,72,18,42,73,40,60,99,83,48,33,41,51,59,38,57,98,71,51,59,70,62,54,49,53,54,47,52,64,40,42,31,28,28,31,87,15,12,34,26,18,23,39,52,41,30,23,164,58,30,20,23,18,13,14,10,3121
übergeordnetes-straßennetz-bestand-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,9,15
ortsteile-von-berlin-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,53,20,8,11,7,5,7,7,11,14,17,40,15,7,7,14,15,8,20,22,8,5,3,10,13,9,371
adressen-berlin-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
bebauungsplansuche-zu-ihrem-grundstück,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,66,44,20,8,6,4,5,2,3,2,1,1,2,2,3,4,6,4,2,5,4,42,15,12,6,6,40,6,9,2,9,357
grünanlagenbestand-berlin-einschl-der-öffentlichen-spielplätze-spielplätze-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
vbb-fahrplandaten-november-2017-bis-dezember-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,108,58,18,6,11,9,304
kleingartenbestand-berlin-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,4,4,2,6,1,3,13,1,3,6,4,7,5,4,10,4,6,2,5,3,1,1,1,,9,110
statistische-blöcke-des-rbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,9,33
verarbeitendes-gewerbe-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,5,9,29
energiebilanzen-der-länder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,,9,37
koordinaten-der-zugangsmöglichkeiten-zu-stationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,21,25,5,3,4,5,1,10,5,10,2,3,7,12,9,148
geologische-karte-110000-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,8,5,14,11,7,15,10,7,12,9,104
datenberlinde-metadaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,17,8,1,10,3,4,6,20,4,28,4,1,17,9,226
gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-personal-im,,,,,,,,,,,,1,,2,,,,,,,,,1,,,,,1,1,,,,2,1,1,,,,,,,,1,5,1,4,2,6,6,4,2,5,5,1,4,3,1,2,1,3,4,9,79
alkis-berlin-bauwerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,3,4,9,28
3-eur-ticket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,50,7,3,9,4,5,3,3,3,3,9,3,6,1,,1,4,6,5,9,167
liste-der-verbannten-buecher,,,,23,11,5,8,28,,,,,,,,,,1,9,12,4,8,4,,3,4,1,,1,2,2,10,5,2,1,6,2,6,,,,3,5,6,,,,2,1,1,2,4,4,,,,,1,7,34,15,9,252
aus-und-einfuhr-außenhandel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,4,1,9,30
übersicht-über-mögliche-tarifentgelte-auswahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,26,19,18,11,16,18,6,6,2,4,4,5,,,,4,2,8,160
web-service-last-und-erzeugung-berlin,,,10,11,10,14,15,10,1,5,9,6,2,3,13,9,14,17,7,4,2,10,10,14,2,8,7,7,8,8,7,9,9,7,7,8,6,12,8,5,3,5,21,14,,16,7,9,7,5,10,8,11,3,38,30,18,23,10,8,11,8,579
alkis-berlin-gewässer-und-vegetationsflächen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,1,,8,3,20,1,6,7,8,71
karte-von-berlin-15000-k5-sw-ausgabe-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,7,7,7,,2,2,5,1,1,2,8,3,3,8,4,,8,78
straßenverzeichnis-der-stadtplanung-im-bezirk-lichtenberg-0,,,,,,,,,,,,,,,,,,,,,,,,20,17,7,6,17,12,16,20,9,30,29,36,6,1,5,39,26,21,15,9,2,3,22,25,30,15,38,17,40,8,13,16,25,5,16,6,1,14,8,645
wahlen-berlin-2016-abgeordnetenhaus-und-bezirksverordnetenversammlungen-endgültiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,34,21,28,21,19,31,6,13,10,6,9,4,8,,,,1,1,8,316
digitale-farbige-orthophotos-2017-dop20rgb-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,8,23
einwohnerdichte-2015-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,9,15,9,13,10,8,26,3,4,17,10,8,10,2,3,3,6,8,183
gästebuch,,,,,,,,,,,,,,,,,,,,,,35,10,2,2,2,,,,2,1,4,2,2,26,4,2,2,1,2,2,,,,5,4,5,5,2,2,2,3,5,1,2,3,,4,1,3,2,8,158
gesundheitsberichterstattung-berlin-kontext-sozialstrukturatlas-berlin-2013,,,,,,,,,,,86,141,13,12,18,8,5,14,15,17,10,13,12,14,8,11,6,6,9,6,15,19,10,2,8,8,11,14,7,6,7,9,10,11,5,10,7,14,9,15,11,4,12,4,6,13,1,9,7,9,5,8,710
einrichtungen-und-projekte-für-kinder-jugendliche-und-familien-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,2,7,6,9,19,6,13,4,4,,,,1,4,3,1,2,2,7,2,17,10,3,1,5,9,2,,5,2,3,5,8,179
gesundheitsberichterstattung-berlin-kontext-gesundheitsmonitoring-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,31,19,3,9,13,5,8,12,22,4,17,12,5,13,6,5,1,10,18,7,11,2,2,2,8,270
rbs-bezirke-dezember-2014,,,,,,,,,,,,,,,,,,,,,,,65,48,70,48,67,61,54,45,46,76,52,81,51,13,7,6,13,6,13,5,8,4,5,13,15,9,15,4,10,18,15,16,8,12,10,18,8,4,5,7,1031
geometrien-der-wahlbezirke-für-die-wahl-zum-abgeordnetenhaus-von-berlin-und-zu-den-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,67,99,22,18,13,9,6,7,4,7,275
gründungen-für-opendata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,5,19,24,22,48,16,13,60,40,17,6,9,2,1,4,7,328
beschäftigungsdaten-für-opendata-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,25,28,20,31,41,20,15,39,7,15,4,15,4,3,,7,317
genderstatistik-künstlerinnenförderung-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,13,8,5,3,15,7,4,3,,1,5,,,5,,2,2,8,9,7,120
blockkarte-1-5000-straßenflächen-isu5-raumbezug-umweltatlas-2015-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7,9
detailnetz-verbindungspunkte-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,11,22,13,5,3,7,7,3,,6,6,6,9,8,,,,,,,,,1,7,1,7,138
50-mbit-breitbandversorgung-über-alle-technologien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,3,2,4,7,35
baufertigstellungen-2012-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,8,7,25
überblick-kulturetat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,33,15,13,9,5,6,17,22,9,9,20,21,15,18,8,12,8,16,16,7,287
klr-produkt-vergleichsbericht-2013,,,,,,,,,,,,,,,,,,29,9,4,11,14,11,19,22,10,14,20,13,9,8,9,1,7,9,10,7,14,7,5,10,2,4,3,7,7,6,13,6,16,11,6,7,9,6,5,3,4,3,5,3,7,405
gesundheitsberichterstattung-berlin-bevölkerung-und-bevölkerungsspezifische-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,7,4,,,,,,,1,,1,,,,1,3,7,30
atkis%C2%AE-dgm-digitales-geländemodell-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,11,7,29
baumbestand-berlin-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,32,20,12,9,13,6,4,4,3,4,7,11,6,11,14,14,6,5,6,15,6,9,6,1,1,7,246
standardeinspeisprofil-bhkw-2012-berlin,,,11,3,7,3,4,3,4,3,6,1,1,2,3,8,6,9,13,3,5,6,2,11,14,6,12,12,10,10,2,3,2,4,10,5,7,5,21,6,15,7,3,11,4,5,1,6,4,8,6,9,8,9,9,3,4,4,2,8,1,7,377
rbs-adressen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,8,9,7,36
rbs-blöcke-dezember-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,54,27,18,13,9,6,17,12,3,13,3,7,4,7,194
berliner-weihnachtsmärkte-2014,,,,,,,,,,,,,,,,,,,97,357,199,46,19,6,8,7,11,4,1,6,27,83,12,28,27,24,25,29,16,15,18,20,26,23,13,,1,13,28,25,15,16,10,21,26,22,15,11,6,10,16,6,1388
grünanlagenbestand-berlin-einschl-der-öffentlichen-spielplätze-grünanlagen-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
grünanlagenbestand-berlin-einschl-der-öffentlichen-spielplätze-grünanlagen-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,2,6,18
produzierendes-gewerbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,6,4,4,3,1,6,55
bruttoinlandsprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,9,11,2,19,10,3,2,6,83
berlin-um-1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,6,2,2,4,1,2,2,6,33
versorgung-mit-öffentlichen-wohnungsnahen-grünanlagen-2016-grünflächen-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,9
geometrien-der-wahlkreise-für-die-abgeordnetenhauswahl-berlin-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,29,26,35,45,44,31,19,22,35,47,144,6,4,10,8,4,6,60,40,17,20,7,18,6,10,6,5,3,3,2,6,780
bezirksamtsbeschlüsse,,,,,,,,,,,,,,,11,51,21,34,11,10,12,32,27,1,4,8,13,10,2,27,9,6,1,17,16,8,3,8,2,2,1,3,16,13,7,19,1,21,5,3,4,6,3,4,1,30,9,4,4,4,25,6,535
co2-emmissionen-aus-dem-primärenergieverbrauch-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,7,1,6,31
gesundheitsberichterstattung-berlin-spezialberichte-sozialstrukturatlas,,,,,,,,,,,28,106,6,4,9,4,1,2,,1,4,,3,,,,3,2,1,,,,14,28,17,6,11,17,7,9,5,15,18,12,7,8,9,4,7,11,3,1,3,1,4,12,4,3,10,7,11,6,444
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-hilfe,,,,,,,,,,,1,5,8,7,,,,5,14,16,4,2,2,3,7,9,5,1,3,2,3,4,1,1,6,11,7,9,5,9,1,1,,10,2,4,8,4,5,7,10,5,4,1,,3,,1,3,,9,6,234
rbs-ortsteile-dezember-2014,,,,,,,,,,,,,,,,,,,,,,,82,64,44,49,96,42,40,44,29,34,36,75,37,12,5,4,7,1,1,2,8,1,1,6,3,4,5,3,6,4,7,7,5,4,3,2,2,11,12,6,804
liste-der-gedenktafeln-berlin,,,,,,,,,,,,15,68,20,9,29,14,7,3,18,6,10,8,10,10,3,20,8,5,3,6,3,5,3,10,10,5,6,6,4,5,4,10,3,4,4,2,6,8,4,5,3,7,8,1,4,1,4,7,3,1,6,424
tempolimits-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,5,6,20
vbb-fahrplandaten-januar-2017-bis-dezember-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,193,78,140,97,19,2,6,10,8,23,8,1,5,10,6,6,728
standardlastprofil-haushalt-2016-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,11,5,2,1,3,1,4,8,6,1,,7,22,11,10,7,6,7,6,121
bundesfernstraßen-berlin-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,3,6,17
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122014,,,,,,,,,,,,,,,,,,,,,,,,129,66,91,76,53,48,52,61,64,50,60,60,32,7,15,10,7,10,9,7,6,4,10,8,6,6,15,11,2,5,2,6,11,8,6,6,8,3,6,1036
rbs-lor-lebensweltlich-orientierte-räume-dezember-2014,,,,,,,,,,,,,,,,,,,,,,,76,76,84,84,47,55,31,36,50,63,36,48,36,22,9,37,11,10,15,8,7,7,5,9,9,3,5,5,12,7,13,20,6,15,10,3,8,3,,6,987
alkis-berlin-relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,6,18
verwaltungseinheiten-im-inspire-datenmodell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
vbb-gtfs-daten-sep-dez-2013,,,,,,,46,64,26,12,16,18,17,4,4,6,14,9,16,6,6,4,4,4,3,6,4,2,2,4,3,1,1,9,1,4,,2,2,1,1,,3,3,2,1,2,1,,2,,,,,4,1,,,4,,,6,351
gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-personal-apotheken,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,,1,,,1,,,1,,,,,,6,14
alkis-berlin-vegetation-punkte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,5,13,10,4,,10,4,5,5,6,72
aktenplan-der-senatsverwaltung-für-finanzen-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,1,20,6,43
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-17,,,,,,,,,,,1,2,1,1,,,,,,,,,2,1,,1,3,1,1,,2,2,4,1,1,1,1,2,2,,3,,3,2,2,,1,2,4,2,,,,4,2,5,1,12,1,5,,6,85
rbs-blöcke-dezember-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,46,135,79,99,31,39,47,35,12,5,11,5,13,6,9,7,7,5,3,5,3,2,6,1,,1,6,621
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,27,37,28,9,13,21,13,22,9,20,13,15,17,17,15,14,17,18,12,9,7,18,16,19,12,6,438
verkehrsbedingte-luftbelastung-im-straßenraum-2015-umweltatlas-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,5,8
atkis%C2%AE-dgm-digitales-geländemodell-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,11
insolvenzen-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,7,16,5,42
grünanlagenbestand-berlin-einschließlich-der-öffentlichen-spielplätze-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,5,14
alkis-berlin-land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,5,2,5,22
standorte-öffentlicher-schulen-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
energie-wasser-und-gasversorgung-im-land-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,2,5,5,35
liste-der-häufigen-vornamen-2014,,,,,,,,,,,,,,,,,,,,,,,,107,145,57,68,60,56,61,60,56,50,59,39,11,9,8,12,9,15,8,11,11,4,6,16,85,50,3,10,6,7,3,3,8,3,7,10,9,3,5,1150
karte-von-berlin-15000-k5-farbausgabe-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,9,3,9,4,2,1,2,4,5,6,3,5,8,1,,,,,,5,,,5,5,4,5,98
berlin-um-1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,,,,,1,5,18
detailnetz-bauwerke-wfs-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
adressen-berlin-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,5,18
adressen-kindertagespflegestellen-steglitz-zehlendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,63,24,5,2,13,5,20,5,2,2,2,26,10,5,215
bsr-entsorgungsbilanz-2007-2012,,,,,,9,9,6,6,5,1,1,2,4,5,5,2,,,4,,1,5,8,1,5,3,1,3,9,4,6,1,1,4,3,2,4,,,,3,1,2,,,,3,2,1,2,2,2,,3,6,6,1,4,1,10,5,174
laufende-steuereinnahmen-des-landes-berlin,,,,,,,,,,,,,,,,,,,,9,5,4,10,5,11,7,11,5,1,7,4,6,11,11,3,10,13,17,12,9,26,17,15,12,9,13,5,9,6,9,6,5,6,1,6,8,9,3,1,3,6,5,351
breitbandversorgung-leitungsgebundene-technologien-privatverfügbarkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,34,4,4,7,5,80
rbs-lor-lebensweltlich-orientierte-räume-dezember-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,50,15,9,16,18,10,19,24,15,20,17,8,18,22,6,17,25,16,15,17,10,8,2,32,6,5,507
baumbestand-berlin-anlagenbäume-sachdaten-zur-karte-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,,5,17
finanzämter-berlin,,,,,,,,,,,,,,18,16,53,14,35,42,15,5,9,19,9,10,3,9,14,1,3,17,11,1,7,12,7,3,3,3,5,14,5,4,2,,,,9,5,3,1,,6,4,2,4,3,2,2,4,1,5,420
alkis-berlin-bauwerke-linien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,8,10,12,8,7,9,4,6,3,5,85
reparaturführer-charlottenburg-wilmersdorf-0,,,,,,,,,,,,,,,,,,,,,,,,31,7,15,4,2,1,2,3,7,10,5,4,2,2,4,,,,2,1,3,1,3,4,2,4,3,2,2,1,,,1,,,,1,1,5,135
geometrien-der-lor-prognoseräume-berlins-stand-072012,,,29,23,19,11,20,12,15,19,7,16,6,12,13,13,8,13,23,20,8,13,11,7,5,7,13,11,4,3,2,12,10,7,9,3,3,8,2,2,4,1,3,2,,2,7,9,4,15,13,3,4,4,8,6,,2,5,2,7,5,525
orte-für-kinder-jugend-und-familie,,,,,,,,,,,,,,,,,,,,,,,,,,,30,41,31,9,21,14,4,1,32,13,14,14,16,21,18,7,22,8,21,37,41,24,9,15,35,14,11,23,45,18,11,19,6,8,7,5,665
einschulbereiche-geometrien-berlin-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75,27,19,18,17,17,12,25,13,15,14,51,15,2,2,5,352
gewerbeanzeigen-im-land-berlin-und-brandenburg-2012-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,5,13
gesundheitsberichterstattung-berlin-kontext-kernindikatoren-für-bezirksregionenprofile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,11,,1,2,1,,3,3,10,4,1,9,5,58
angebote-der-schulbezogenen-jugendarbeit-und-jugendsozialarbeit-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,2,9,1,8,14,15,4,7,6,6,3,6,3,5,1,4,,2,2,6,4,3,4,4,3,2,1,1,2,1,,3,5,147
berlin-zoom-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,10
erhaltungsverordnungsgebiete-%C2%A7-172-baugb-wms-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
alkis-berlin-besondere-flurstücksgrenzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,9,11,5,30
